filepath,class,split
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125943.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130237.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130330.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130301.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130636_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130458.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130459.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130544.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130559.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130225.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130110.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130233.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130235.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130027.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130514.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130515.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125942.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130112.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125948.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130201.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130526.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130253.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125933.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130307.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130020.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130230.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130108.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130425.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130248.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130009.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130259.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130530.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130559_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130420.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130527.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130035.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130431.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130245.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130544_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130036.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125930.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130625.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130551.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130327.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130609.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130313.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130553.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130115.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130406.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130530_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130432.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130348.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130128.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130122.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130558.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130636.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125938.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130314.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130428.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130006.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130007.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130403.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130607.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130524.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130013.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130626.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130627.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130025.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130125.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130136.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130223.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130552.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125935.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130014.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130504_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190047.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190146.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132453.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132542.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132521.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183130.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132554_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132358.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183143.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132753.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190123.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132734.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183110.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132659_02.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183119_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132438.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190137.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132526.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190051.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132545.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190100.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183159.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183042.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190145.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132738.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132526_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190016_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132750.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132537.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132531.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132626_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132649.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183202.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190147.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132754.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183135.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190021.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190100_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132549_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132352.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183152.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190043.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190103.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132529_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132438_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183114.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132537_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132529.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132650_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190050.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132555.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190048_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132731.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183153.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183113.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132659_01.jpg,Banana,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183144.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132544.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132507_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183125_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132516.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190037.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190007.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183056.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183157.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132635.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132654.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190023.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190046.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132420.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132554.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132752_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190042.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190020.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190143_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183125.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190056.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183107.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183107_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132515.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190138.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190053.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183123.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190148_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132440.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183136.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132739.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132426.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190034.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190104.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132636.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132739_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132508.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190158.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183142_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132453_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132354.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183057.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190151.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183155.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132517.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183052.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190110.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132736.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132425.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183055_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132359.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183146_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183122.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183111.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190136.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190152.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132701_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132634.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190057.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190127.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183118.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190116.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132356.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132419.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183129.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190031.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132651.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183052_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183057_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132753_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190009.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132755.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183100.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132735.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190049_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132424_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190022.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190054.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132740.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132733.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183135_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190049.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190133.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183149.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132441.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183119.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132423.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132424.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132451_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132751.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183147.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190124.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132518_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190016.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183055.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132451.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190154.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183102.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183105.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183040.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132735_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190200.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183146.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200730132653.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190148.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183049_01.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183050.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729183051.jpg,Banana,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Banana\IMG20200729190017.jpg,Banana,train
