file_a,file_b,split_a,split_b,class_a,class_b,hamming
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\587.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\rottenStrawberry (219).jpg,unsplit,unsplit,Strawberry__Rotten,Strawberry__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Banana__Rotten\saltandpepper_Screen Shot 2018-06-12 at 9.21.20 PM.png,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Banana__Rotten\Screen Shot 2018-06-12 at 9.21.20 PM.png,unsplit,unsplit,Banana__Rotten,Banana__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Bad Quality_Fruits\Orange_Bad\IMG_20190923_175632_1.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Bad Quality_Fruits\Orange_Bad\IMG_20190923_175632_2.jpg,unsplit,unsplit,Orange_Bad,Orange_Bad,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913_23512.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913_23515.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913_23512.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144913_23515.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\241.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\rottenStrawberry (551).jpg,unsplit,unsplit,Strawberry__Rotten,Strawberry__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\726.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\rottenStrawberry (322).jpg,unsplit,unsplit,Strawberry__Rotten,Strawberry__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Bellpepper__Rotten\rottenPepper (488).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Carrot__Rotten\rottenCarrot (65).jpg,unsplit,unsplit,Bellpepper__Rotten,Carrot__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102951.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102952.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102951.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102953.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102952.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_102953.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_111423.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_111423_1.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\rottenApple (323).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\saltandpepper_Screen Shot 2018-06-08 at 2.52.57 PM.png,unsplit,unsplit,Apple__Rotten,Apple__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Bellpepper__Rotten\rottenPepper (156).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Bellpepper__Rotten\rottenPepper (245).jpg,unsplit,unsplit,Bellpepper__Rotten,Bellpepper__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Cucumber__Healthy\freshCucumber (239).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Cucumber__Healthy\freshCucumber (505).jpg,unsplit,unsplit,Cucumber__Healthy,Cucumber__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\679.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\freshMango (188).jpg,unsplit,unsplit,Mango__Healthy,Mango__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\435.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (408).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\590.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\freshMango (123).jpg,unsplit,unsplit,Mango__Healthy,Mango__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103711.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103711_1.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103711_1.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103717_1.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103712.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103713_1.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103712.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103714.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103712.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103716.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103713_1.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103714.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103713_1.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103716.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103714.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103716.jpg,unsplit,unsplit,Lime_Good,Lime_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103915_1.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Lime_Good\IMG_20190902_103916.jpg,unsplit,unsplit,Lime_Good,Lime_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0)_26692.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0).jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0)_26695.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,2
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0)_26692.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154635(0)_26695.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Healthy\saltandpepper_Screen Shot 2018-06-08 at 5.03.26 PM.png,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Healthy\Screen Shot 2018-06-08 at 5.03.26 PM.png,unsplit,unsplit,Apple__Healthy,Apple__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\436.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\freshMango (25).jpg,unsplit,unsplit,Mango__Healthy,Mango__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Rotten\518.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Rotten\rottenMango (104).jpg,unsplit,unsplit,Mango__Rotten,Mango__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\323.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (350).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\329.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (356).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\472.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (445).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\474.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (447).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\476.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (449).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\12.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\rottenStrawberry (434).jpg,unsplit,unsplit,Strawberry__Rotten,Strawberry__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\556.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\freshMango (105).jpg,unsplit,unsplit,Mango__Healthy,Mango__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\680.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Mango__Healthy\freshMango (189).jpg,unsplit,unsplit,Mango__Healthy,Mango__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\29.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Rotten\rottenStrawberry (446).jpg,unsplit,unsplit,Strawberry__Rotten,Strawberry__Rotten,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609_23692.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609_23695.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609_23692.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145609_23695.jpg,unsplit,unsplit,Pomegranate_Good,Pomegranate_Good,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\426.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (399).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\427.jpg,C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Strawberry__Healthy\freshStrawberry (400).jpg,unsplit,unsplit,Strawberry__Healthy,Strawberry__Healthy,0
